,Date,GBPPLN,GBPHKD,GBPAUD,GBPMXN,GBPEUR,GBPHUF,GBPDKK,GBPCZK,GBPNZD,GBPZAR,GBPCAD,GBPNOK,GBPUSD,GBPJPY,GBPSGD,GBPSEK,GBPCHF,SIVR,IAU,USO,DBA,LIT,UGA,COPX
16,2014-12-23,5.4774,12.035,1.913,22.8766,1.2746,402.78,9.482,35.2523,2.012,18.0584,1.8038,11.5279,1.5515,187.329,2.0559,12.1032,1.533,15.4201,11.36,21.56,25.37,11.31,36.52,7.32
17,2014-12-24,5.5427,12.08,1.9156,22.912,1.2748,403.75,9.49,35.3308,2.014,18.0847,1.8079,11.596,1.5555,187.21,2.0564,12.105,1.5331,15.5,11.36,21.05,25.13,11.344,35.61,7.33
18,2014-12-29,5.481,12.031,1.907,22.9038,1.2763,400.67,9.494,35.3245,1.9941,18.0083,1.8067,11.5667,1.5512,187.139,2.0532,12.1697,1.5344,15.51,11.46,20.3,25.23,11.27,33.81,7.25
19,2014-12-30,5.469,12.069,1.9018,22.917,1.2798,402.58,9.528,35.3734,1.9869,17.9933,1.8066,11.5435,1.556,185.839,2.0557,12.0315,1.5385,16.04,11.6,20.293,25.08,11.24,33.63,7.35
20,2014-12-31,5.5016,12.083,1.9053,22.9777,1.2872,402.02,9.582,35.3734,1.9952,17.9874,1.809,11.632,1.5575,186.44,2.0634,12.1572,1.5484,15.43,11.44,20.36,24.89,11.13,34.15,7.36
21,2015-01-05,5.4791,11.826,1.8865,22.7773,1.278,405.37,9.509,35.3673,1.9839,17.8335,1.7937,11.6465,1.5252,181.932,2.0349,12.0974,1.5355,15.9001,11.68,18.79,24.94,11.01,31.76,7.2199
22,2015-01-06,5.5026,11.74,1.8753,22.5399,1.2745,406.92,9.485,35.2397,1.9532,17.7373,1.7928,11.7281,1.5139,179.529,2.0195,11.9992,1.5313,16.27,11.79,18.05,25.11,11.01,31.12,7.1799
23,2015-01-07,5.4795,11.712,1.8701,22.2158,1.2763,405.72,9.495,35.5357,1.942,17.6315,1.7852,11.6318,1.5104,180.242,2.0224,12.0369,1.5329,16.32,11.73,18.369,24.99,11.01,30.69,7.19
24,2015-01-08,5.4744,11.693,1.8587,22.1117,1.279,403.76,9.514,35.6346,1.9319,17.4475,1.7849,11.4921,1.508,180.54,2.0164,12.0994,1.5361,16.05,11.69,18.55,24.9,11.137,30.89,7.3
25,2015-01-12,5.4785,11.755,1.86,22.2193,1.2821,406.54,9.537,36.2845,1.9506,17.4659,1.8157,11.7385,1.5166,179.515,2.0237,12.2532,1.5396,16.3,11.94,17.41,24.66,11.19,29.48,7.02
26,2015-01-13,5.5095,11.755,1.8566,22.143,1.2877,409.32,9.574,36.1891,1.9585,17.464,1.812,11.7422,1.5162,178.741,2.0215,12.2287,1.546,16.7364,11.91,17.62,24.42,11.197,29.45,6.72
27,2015-01-14,5.4995,11.81,1.8671,22.062,1.2924,412.65,9.609,36.2229,1.972,17.403,1.8215,11.6036,1.5233,178.614,2.0314,12.3129,1.5518,16.58,11.88,18.27,24.36,11.05,31.02,6.19
28,2015-01-15,5.6145,11.762,1.8526,22.2222,1.3043,421.69,9.699,36.3136,1.942,17.5202,1.8166,11.5505,1.5181,176.37,2.0116,12.3128,1.3043,16.59,12.18,17.45,24.24,10.97,29.97,6.13
29,2015-01-20,5.6761,11.741,1.8557,22.1942,1.3116,413.78,9.743,36.4847,1.9828,17.5413,1.8339,11.6293,1.5149,179.754,2.0249,12.3646,1.3242,17.66,12.52,17.48,23.98,10.98,30.36,6.41
30,2015-01-21,5.6035,11.736,1.8713,22.3445,1.3041,410.4,9.693,36.441,2.0005,17.4335,1.867,11.4717,1.5142,178.552,2.0213,12.3579,1.303,17.87,12.52,17.77,23.84,11.1599,30.49,6.47
31,2015-01-22,5.613,11.633,1.8708,21.9496,1.3227,412.14,9.824,36.8053,2.0012,17.1048,1.8603,11.5041,1.5008,178.019,2.0096,12.3556,1.3064,18.08,12.62,17.41,23.73,11.278,30.65,6.52
32,2015-01-26,5.6504,11.691,1.9043,21.9813,1.3408,416.94,9.996,37.1786,2.0297,17.2635,1.8812,11.7548,1.5082,178.59,2.0268,12.5442,1.3599,17.59,12.39,16.87,23.52,11.2999,30.25,6.3
33,2015-01-27,5.6479,11.772,1.9153,22.1927,1.3358,415.19,9.94,37.2191,2.0361,17.5698,1.8818,11.7388,1.5185,178.794,2.0322,12.4233,1.3705,17.801,12.53,17.21,23.52,11.3065,31.13,6.24
34,2015-01-28,5.6995,11.74,1.9206,22.2978,1.3417,419.19,9.999,37.1834,2.0689,17.5275,1.8978,11.8752,1.5146,177.93,2.0464,12.5718,1.3711,17.668,12.44,16.56,23.4,11.15,31.11,6.09
35,2015-01-29,5.6005,11.681,1.9396,22.2856,1.3302,413.22,9.897,36.8947,2.0702,17.4039,1.9014,11.7791,1.507,178.33,2.0386,12.4531,1.39,16.71,12.16,16.68,23.2,10.972,31.46,6.0604
36,2015-02-02,5.547,11.646,1.9271,22.3314,1.325,411.34,9.863,36.7363,2.0576,17.2694,1.8893,11.4934,1.5024,176.8,2.031,12.4862,1.3943,16.93,12.34,18.62,22.91,11.09,34.86,6.24
37,2015-02-03,5.507,11.741,1.9494,22.1891,1.3214,407.48,9.831,36.658,2.0629,17.2126,1.882,11.3959,1.5142,178.008,2.0387,12.4601,1.3999,16.99,12.2,19.62,23.24,11.3,35.78,6.671
38,2015-02-04,5.5728,11.767,1.9581,22.5748,1.3407,412.98,9.968,37.1828,2.0614,17.4075,1.9086,11.5577,1.5181,178.106,2.0471,12.5911,1.4042,17.09,12.25,18.28,23.14,11.14,33.69,6.62
39,2015-02-05,5.5645,11.887,1.9645,22.6627,1.3356,409.68,9.946,37.0003,2.0687,17.2793,1.9062,11.5275,1.5333,180.15,2.0607,12.6399,1.4126,17.045,12.28,19.03,23.22,11.32,34.54,6.79
40,2015-02-09,5.617,11.793,1.9512,22.5101,1.3434,413.06,9.995,37.2075,2.0561,17.6175,1.897,11.5619,1.5211,180.443,2.0589,12.7115,1.4061,16.7751,12.0,19.77,23.61,11.36,35.56,6.78
41,2015-02-10,5.6599,11.827,1.964,22.8022,1.3479,415.69,10.032,37.2644,2.0609,17.8152,1.9201,11.5594,1.5254,182.174,2.0662,12.7039,1.4138,16.64,11.94,18.94,23.33,11.367,35.26,6.5916
42,2015-02-11,5.6495,11.815,1.9726,22.9468,1.3475,415.41,10.01,37.2014,2.0661,17.9929,1.9222,11.6617,1.5239,183.312,2.073,12.7762,1.4142,16.526,11.8,18.51,23.23,11.3999,34.81,6.5101
43,2015-02-12,5.6148,11.925,1.9884,22.9443,1.3494,412.27,10.04,37.2937,2.0716,18.0032,1.9245,11.7657,1.5379,183.237,2.0849,12.9826,1.4312,16.589,11.83,19.18,23.36,11.4601,35.94,6.75
44,2015-02-17,5.634,11.905,1.9641,22.8621,1.3462,413.62,10.01,37.111,2.0357,17.9049,1.9014,11.5286,1.5345,182.91,2.0792,12.7677,1.4374,16.28,11.7,19.79,23.555,11.7578,36.07,7.12
45,2015-02-18,5.6612,11.978,1.9755,22.963,1.3538,414.09,10.078,36.8737,2.0462,17.8935,1.9222,11.6118,1.5436,183.272,2.0924,12.8888,1.4536,16.2,11.73,19.26,23.39,11.78,35.63,7.155
46,2015-02-19,5.6543,11.956,1.9777,23.1237,1.3564,414.17,10.098,37.0525,2.0491,17.9843,1.9259,11.6951,1.5415,183.483,2.0933,12.985,1.4635,16.13,11.69,19.1,23.35,11.75,36.21,7.05
47,2015-02-23,5.6953,11.986,1.9804,23.3194,1.3632,416.23,10.164,37.3623,2.0535,17.9645,1.9423,11.762,1.5454,183.637,2.1002,12.9957,1.4678,16.07,11.63,18.11,22.98,11.7607,36.15,6.86
48,2015-02-24,5.6625,11.982,1.9738,23.0479,1.3629,415.59,10.164,37.3884,2.0629,17.7252,1.9303,11.7111,1.5449,183.796,2.0967,12.9693,1.4688,15.97,11.62,18.04,23.03,11.9,35.81,6.986
49,2015-02-25,5.6805,12.043,1.9695,23.16,1.3662,416.12,10.201,37.4235,2.05,17.7699,1.9306,11.702,1.5527,184.505,2.1014,12.8706,1.4721,16.24,11.66,18.65,22.83,11.95,37.71,7.0345
50,2015-02-26,5.7071,11.946,1.9761,23.0874,1.3758,416.49,10.267,37.8093,2.0472,17.7545,1.9284,11.7968,1.5408,183.924,2.0906,12.9435,1.467,16.2613,11.69,18.03,22.96,11.9105,37.71,7.16
51,2015-03-02,5.7089,11.908,1.9793,23.0674,1.3739,418.33,10.233,37.7637,2.0457,18.0653,1.9255,11.8203,1.5358,184.592,2.0976,12.8006,1.4713,16.08,11.65,18.32,22.88,12.01,37.67,7.1951
52,2015-03-03,5.719,11.909,1.9658,23.0194,1.374,420.66,10.237,37.718,2.0345,18.0445,1.918,11.8359,1.5359,183.807,2.092,12.7025,1.4758,15.98,11.64,18.49,22.71,11.96,38.45,7.14
53,2015-03-04,5.7123,11.837,1.9525,22.9611,1.3774,421.73,10.262,37.8044,2.0122,17.9793,1.8964,11.8594,1.5264,182.721,2.0872,12.705,1.4703,15.94,11.6,19.01,22.75,11.95,37.83,6.9901
54,2015-03-05,5.7255,11.826,1.9596,23.1584,1.382,421.48,10.302,37.6822,2.0371,18.0442,1.9037,11.768,1.5251,183.142,2.0905,12.7175,1.4847,15.93,11.6,18.71,22.6,11.94,37.23,7.02
55,2015-03-09,5.736,11.73,1.9667,23.4068,1.394,425.29,10.384,38.011,2.0584,18.2783,1.9079,11.991,1.5119,183.33,2.0867,12.8225,1.491,15.54,11.28,18.35,22.58,11.8,36.84,6.7898
56,2015-03-10,5.861,11.692,1.9746,23.5232,1.4081,433.22,10.503,38.3849,2.0693,18.5974,1.9108,12.2056,1.5067,182.484,2.0944,12.9107,1.5048,15.4399,11.22,17.91,22.45,11.553,35.78,6.46
57,2015-03-11,5.834,11.606,1.9643,23.1009,1.4159,429.39,10.551,38.5805,2.0433,18.2708,1.9024,12.2354,1.4939,181.371,2.0725,12.8792,1.5072,15.25,11.16,17.77,22.41,11.5199,35.86,6.5
58,2015-03-12,5.8,11.564,1.9334,22.9007,1.4016,425.58,10.45,38.2464,2.0133,18.258,1.8892,12.0578,1.4887,180.639,2.0557,12.7932,1.4938,15.31,11.15,17.44,22.41,11.62,35.51,6.53
59,2015-03-16,5.7838,11.508,1.9393,22.8368,1.402,425.27,10.464,38.1897,2.0094,18.359,1.8935,12.2474,1.4824,179.902,2.0606,12.8286,1.4933,15.4,11.17,16.35,22.26,11.46,33.97,6.39
60,2015-03-17,5.7583,11.446,1.9346,22.6915,1.3918,422.68,10.38,37.8723,2.017,18.2085,1.8858,12.2552,1.4746,178.937,2.0475,12.8095,1.4832,15.32,11.1,15.96,22.08,11.5,33.92,6.427
61,2015-03-18,5.7045,11.591,1.9273,22.5978,1.3788,418.11,10.288,37.6365,1.998,18.0585,1.8798,12.2538,1.4941,179.734,2.0595,12.8752,1.4687,15.7681,11.32,16.76,22.35,11.39,35.81,6.5124
62,2015-03-19,5.7024,11.447,1.9282,22.5303,1.3833,419.26,10.3,37.9108,1.9883,18.137,1.8749,11.9254,1.4756,178.298,2.0464,12.7935,1.4598,15.88,11.31,16.08,22.26,11.291,34.82,6.38
63,2015-03-23,5.6063,11.608,1.8964,22.3221,1.3656,413.93,10.182,37.3407,1.9512,17.7868,1.872,11.7873,1.4968,179.057,2.0439,12.7086,1.4444,16.75,11.51,16.78,22.74,11.57,35.47,6.97
64,2015-03-24,5.5628,11.512,1.8858,22.1779,1.3603,406.34,10.146,37.2408,1.9441,17.5287,1.8558,11.6705,1.4844,177.729,2.0283,12.62,1.4235,16.73,11.55,16.79,22.61,11.5,35.33,6.91
65,2015-03-25,5.541,11.542,1.8993,22.3091,1.3568,405.59,10.136,37.1046,1.9596,17.624,1.8643,11.6717,1.4883,177.8,2.0384,12.626,1.4291,16.69,11.56,17.36,22.55,11.3,35.96,6.85
66,2015-03-26,5.565,11.512,1.8963,22.5012,1.3646,409.08,10.19,37.4586,1.9557,17.805,1.8532,11.745,1.4848,177.011,2.0337,12.7605,1.4298,16.77,11.65,18.21,22.39,11.201,36.92,6.7808
67,2015-03-30,5.588,11.482,1.9339,22.5853,1.3673,408.79,10.209,37.519,1.975,17.966,1.8773,11.8624,1.4808,177.833,2.0378,12.7369,1.4318,16.44,11.46,17.23,22.34,11.3442,35.17,6.86
68,2015-03-31,5.6227,11.494,1.9458,22.6217,1.3809,414.57,10.311,38.0263,1.9868,17.9673,1.8798,11.9451,1.4828,177.926,2.0351,12.7915,1.4407,16.36,11.45,16.84,22.14,11.2801,34.84,6.78
69,2015-04-01,5.5815,11.495,1.9507,22.4437,1.3773,410.98,10.283,37.9355,1.9919,17.7721,1.8708,11.8901,1.4828,177.421,2.0203,12.8344,1.4327,16.67,11.65,17.58,22.41,11.33,35.94,6.7938
70,2015-04-02,5.5468,11.499,1.9559,22.2558,1.364,408.25,10.19,37.5445,1.9752,17.6967,1.8632,11.8495,1.4834,177.658,2.0129,12.7986,1.4239,16.47,11.62,17.56,22.74,11.48,34.9,6.8501
71,2015-04-06,5.5522,11.539,1.9599,22.1804,1.3615,406.8,10.175,37.322,1.9738,17.563,1.8569,11.8274,1.4887,177.902,2.0159,12.7494,1.4266,16.71,11.76,18.43,22.69,11.5682,36.18,6.98
72,2015-04-07,5.5308,11.488,1.9392,22.103,1.3693,408.37,10.228,37.4973,1.9748,17.592,1.8525,11.9675,1.4822,178.235,2.0154,12.8473,1.4311,16.58,11.7,19.06,22.63,11.6399,36.58,7.04
73,2015-04-08,5.523,11.528,1.9352,22.1803,1.3792,408.98,10.308,37.7352,1.9691,17.5639,1.8654,11.9724,1.4876,178.75,2.0192,12.9038,1.4375,16.23,11.64,18.07,22.51,11.83,34.54,7.12
74,2015-04-09,5.5503,11.4,1.9115,22.1875,1.3794,411.3,10.304,37.8032,1.9459,17.5469,1.8512,11.9062,1.4711,177.324,1.9992,12.8759,1.4367,15.9371,11.56,18.03,22.44,11.9599,34.65,7.04
75,2015-04-13,5.556,11.369,1.9334,22.5666,1.3872,411.44,10.363,37.8992,1.9674,17.7863,1.8475,11.8568,1.467,176.155,2.0127,12.924,1.4339,16.0353,11.61,18.5,22.13,12.0,35.54,6.95
76,2015-04-14,5.5673,11.452,1.9392,22.543,1.3871,411.33,10.358,37.8603,1.9666,17.7177,1.8449,11.7429,1.4774,176.395,2.0091,12.942,1.4366,15.94,11.53,18.82,22.27,12.0,36.16,7.09
77,2015-04-15,5.5784,11.492,1.9314,22.6199,1.3888,416.6,10.368,38.0694,1.953,17.865,1.8239,11.5863,1.4828,176.687,2.0113,12.9297,1.431,16.07,11.63,19.71,22.22,12.15,37.95,7.2201
78,2015-04-16,5.5797,11.573,1.9167,22.6406,1.3869,418.64,10.352,38.0634,1.9501,17.8283,1.8216,11.571,1.4929,177.697,2.0158,12.822,1.4273,16.0,11.6,19.94,22.38,12.17,38.23,7.282
79,2015-04-20,5.53,11.547,1.9295,23.0249,1.387,413.31,10.354,37.9741,1.9447,18.078,1.8223,11.7422,1.4901,177.709,2.0088,12.9758,1.4244,15.692,11.56,19.89,22.07,12.0,38.12,7.24
80,2015-04-21,5.5397,11.567,1.9342,23.0334,1.39,414.94,10.367,38.1227,1.9468,18.076,1.8317,11.7593,1.4926,178.591,2.0169,12.9287,1.426,15.73,11.63,19.45,22.1,11.9904,37.32,7.2
81,2015-04-22,5.5925,11.652,1.941,23.2283,1.4019,421.36,10.464,38.4045,1.9672,18.3622,1.8411,11.8839,1.5036,180.42,2.0263,13.1314,1.4582,15.53,11.48,19.36,22.03,12.14,37.91,7.2247
82,2015-04-23,5.5641,11.664,1.9356,23.0892,1.3916,417.26,10.381,38.1458,1.9833,18.278,1.8289,11.7863,1.5051,180.04,2.02,12.9975,1.4384,15.62,11.56,19.76,22.28,12.31,39.194,7.36
83,2015-04-27,5.5796,11.799,1.9384,23.3746,1.3994,419.97,10.443,38.4776,1.9934,18.2498,1.8411,11.7685,1.5226,181.347,2.0218,13.1046,1.4545,16.09,11.63,19.52,22.22,12.4201,39.33,7.83
84,2015-04-28,5.5847,11.885,1.9127,23.388,1.3978,420.12,10.424,38.3013,1.9826,18.183,1.8452,11.7241,1.5337,182.276,2.0203,13.0473,1.4656,16.35,11.73,19.6,22.24,12.58,39.25,7.89
85,2015-04-29,5.5576,11.956,1.9292,23.4659,1.3879,419.07,10.352,37.9727,2.0261,18.1788,1.8538,11.6052,1.5428,183.642,2.039,12.8585,1.4499,16.24,11.64,20.12,22.38,12.5612,39.341,7.96
86,2015-04-30,5.5174,11.893,1.9432,23.5524,1.3692,415.12,10.218,37.5786,2.0184,18.2437,1.8539,11.5838,1.5348,183.371,2.032,12.7974,1.4326,15.84,11.44,20.51,22.29,12.535,40.25,7.99
87,2015-05-04,5.4623,11.718,1.9278,23.354,1.3562,411.44,10.123,37.0886,2.0048,18.2192,1.828,11.4679,1.5116,181.589,2.0124,12.6551,1.4122,16.145,11.49,20.28,21.97,12.805,39.93,8.21
88,2015-05-05,5.4667,11.758,1.9124,23.2841,1.3564,411.67,10.122,37.1374,2.0225,18.1655,1.8322,11.5005,1.5169,181.906,2.0209,12.6674,1.4064,16.24,11.53,20.76,22.11,12.74,40.49,8.14
89,2015-05-06,5.433,11.813,1.9123,23.4128,1.3437,410.24,10.029,36.8017,2.0339,18.304,1.8346,11.3142,1.524,182.026,2.0181,12.5322,1.396,16.22,11.53,20.82,22.19,12.6,39.84,8.12
90,2015-05-07,5.5332,11.932,1.9462,23.5594,1.3695,415.03,10.214,37.4698,2.0671,18.4925,1.8633,11.4841,1.539,184.25,2.0501,12.7387,1.4195,16.02,11.44,20.2,22.11,12.6327,39.02,7.99
91,2015-05-11,5.6965,12.072,1.9745,23.9026,1.3975,425.83,10.423,38.2943,2.1229,18.8075,1.8843,11.7803,1.5575,187.093,2.0825,12.9294,1.4552,16.008,11.44,20.38,22.37,12.68,39.06,8.02
92,2015-05-12,5.7168,12.144,1.9627,24.0074,1.3963,428.44,10.423,38.2796,2.1217,18.852,1.8811,11.7253,1.5667,187.79,2.0916,13.0481,1.4554,16.25,11.54,20.74,22.42,12.7,39.8,8.1199
93,2015-05-13,5.6731,12.201,1.9381,24.0262,1.3866,426.53,10.349,38.0813,2.0872,18.69,1.8813,11.6181,1.5742,187.51,2.0841,12.9618,1.4431,16.81,11.74,20.61,22.39,12.77,39.88,8.1296
94,2015-05-14,5.6242,12.226,1.9521,23.8026,1.383,423.51,10.319,37.9673,2.1045,18.5978,1.8901,11.6289,1.5774,188.026,2.083,12.9991,1.4393,17.12,11.81,20.53,22.72,12.76,40.44,8.13
95,2015-05-18,5.6351,12.134,1.9586,23.6353,1.3829,427.04,10.322,37.8337,2.1222,18.5992,1.9025,11.5955,1.5657,187.849,2.0787,12.8903,1.4497,17.38,11.84,20.44,22.74,12.76,40.19,8.0701
96,2015-05-19,5.6345,12.023,1.9586,23.5662,1.3918,425.43,10.374,38.1,2.1104,18.443,1.8969,11.6828,1.5511,187.181,2.071,12.933,1.4534,16.84,11.68,19.63,22.54,12.69,39.27,7.8
97,2015-05-20,5.7085,12.045,1.9732,23.59,1.4,429.6,10.445,38.2095,2.1262,18.405,1.896,11.7634,1.5538,188.37,2.0765,12.9544,1.4557,16.82,11.7,19.84,22.44,12.79,39.79,7.71
98,2015-05-21,5.765,12.14,1.9832,23.8317,1.4094,433.34,10.507,38.5849,2.1309,18.5441,1.9106,11.846,1.5659,189.566,2.0917,13.0544,1.4671,16.85,11.66,20.5,22.43,12.77,40.79,7.7
99,2015-05-26,5.8574,11.932,1.9878,23.5249,1.4141,436.38,10.534,38.8065,2.1235,18.5725,1.9119,11.9232,1.5391,189.349,2.0767,13.0343,1.4661,16.47,11.48,19.69,21.98,12.7,39.23,7.45
100,2015-05-27,5.8083,11.908,1.9852,23.4596,1.4083,435.04,10.497,38.6592,2.1143,18.4565,1.9118,11.926,1.5351,189.932,2.0737,13.054,1.4576,16.41,11.48,19.48,21.87,12.71,38.31,7.4599
101,2015-05-28,5.7852,11.877,2.0005,23.4554,1.3975,431.71,10.415,38.3438,2.132,18.575,1.9033,11.9321,1.5321,189.644,2.0641,12.9466,1.4437,16.43,11.49,19.56,21.98,12.66,38.93,7.38
102,2015-06-01,5.7225,11.788,1.9965,23.519,1.3914,429.05,10.37,38.1489,2.1399,18.6325,1.9039,12.0944,1.5201,189.729,2.0616,13.039,1.4376,16.47,11.5,20.36,22.01,12.47,40.41,7.2
103,2015-06-02,5.663,11.897,1.975,23.6772,1.3757,428.55,10.261,37.723,2.1376,18.69,1.9038,12.0142,1.5341,190.314,2.068,12.9508,1.4316,16.51,11.54,20.68,22.32,12.33,40.91,7.4447
104,2015-06-03,5.66,11.882,1.9717,23.7919,1.3611,424.9,10.146,37.3937,2.1433,18.846,1.9091,11.887,1.5327,190.506,2.0588,12.7338,1.4312,16.24,11.46,20.17,22.24,12.46,40.37,7.4599
105,2015-06-04,5.7132,11.901,1.9997,23.845,1.3705,426.49,10.223,37.5598,2.1568,18.994,1.92,11.9408,1.5354,191.084,2.0702,12.7365,1.4353,15.9,11.38,19.66,22.37,12.39,39.19,7.24
106,2015-06-08,5.6768,11.892,1.9963,23.9734,1.3599,426.47,10.14,37.2643,2.1502,19.14,1.9048,11.9961,1.5341,191.17,2.0759,12.734,1.4227,15.76,11.35,19.71,22.46,12.1,39.6,7.26
107,2015-06-09,5.6932,11.921,1.9996,23.9484,1.3624,426.62,10.173,37.3217,2.1537,19.0997,1.8978,11.9644,1.5377,191.322,2.0778,12.7566,1.4318,15.7,11.37,20.21,22.48,12.01,40.93,7.2468
108,2015-06-10,5.6643,12.021,2.0041,23.9728,1.3699,427.43,10.216,37.3386,2.1966,19.0906,1.9026,12.0386,1.5507,190.393,2.0809,12.8043,1.4452,15.76,11.47,20.64,22.35,12.13,42.25,7.46
109,2015-06-11,5.6968,12.022,2.0008,23.8216,1.3795,428.62,10.288,37.6376,2.21,19.1459,1.907,12.1785,1.5507,191.577,2.0857,12.7423,1.4482,15.76,11.43,20.49,22.05,12.18,41.96,7.33
110,2015-06-15,5.7405,12.091,2.0088,24.0689,1.383,432.01,10.313,37.6907,2.2258,19.3418,1.9206,12.0909,1.5598,192.497,2.098,12.7305,1.4504,15.86,11.46,20.15,21.74,12.01,41.32,7.2416
111,2015-06-16,5.7583,12.128,2.018,24.0712,1.3909,433.29,10.371,37.9072,2.2382,19.3371,1.9229,12.1334,1.5645,193.032,2.099,12.7855,1.4579,15.748,11.42,20.26,21.91,11.93,41.97,7.13
112,2015-06-17,5.7915,12.269,2.0461,24.1392,1.3938,434.03,10.406,37.9436,2.2874,19.4275,1.9364,12.1153,1.5828,195.457,2.1153,12.8268,1.4593,15.89,11.47,20.21,21.98,12.0,41.42,7.2388
113,2015-06-18,5.816,12.308,2.0344,24.334,1.3961,436.03,10.415,38.011,2.2891,19.4247,1.9403,12.3441,1.5878,195.192,2.1173,12.8907,1.462,15.92,11.62,20.36,21.97,11.974,41.53,7.34
114,2015-06-22,5.8178,12.264,2.0482,24.2739,1.3948,433.53,10.406,37.9128,2.3052,19.1365,1.9486,12.246,1.5823,195.216,2.1126,12.8844,1.4578,15.93,11.45,20.16,22.13,11.99,40.23,7.0908
115,2015-06-23,5.8532,12.193,2.0327,24.2127,1.4084,435.78,10.502,38.2971,2.2926,19.1194,1.9389,12.304,1.5729,194.911,2.1083,12.9835,1.469,15.56,11.39,20.47,22.2,12.1,41.38,7.18
116,2015-06-24,5.844,12.175,2.0387,24.3458,1.4016,435.88,10.453,38.1598,2.2803,19.0735,1.9457,12.3085,1.5707,194.554,2.1101,12.938,1.4659,15.64,11.35,20.21,22.28,12.06,40.87,7.294
